planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,harmonic_ratio,habitable_zone_status,Decision Tree_prediction,Random Forest_prediction,SVM_prediction,Neural Network_prediction
82 Eri f,Candidate,331.41,0.875,82 Eri,4.26,5490.0,6.06,0.620790766,,Conservative HZ,Conservative HZ,Conservative HZ,Not in HZ,Not in HZ
82 Eri g,Candidate,11.86,0.095,82 Eri,4.26,5490.0,6.06,0.620790766,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
82 Eri h,Candidate,3286.203561,6.0,82 Eri,4.26,5490.0,6.06,0.620790766,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
AS 209 b,Candidate,3286.203561,200.0,AS 209,11.3,5688.237937,12.124,0.0037957,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
AS 209 c,Candidate,3286.203561,100.0,AS 209,11.3,5688.237937,12.124,0.0037957,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Barnard's star c,Candidate,4.1243,0.0274,Barnard's star,9.5,3195.0,1.82823,0.000452962,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Barnard's Star c,Candidate,3286.203561,5.5,Barnard's star,9.5,3195.0,1.82823,0.000452962,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Barnard's star d,Candidate,2.3407,0.0188,Barnard's star,9.5,3195.0,1.82823,0.000452962,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Barnard's star e,Candidate,6.7377,0.0381,Barnard's star,9.5,3195.0,1.82823,0.000452962,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
CS Cha b,Candidate,3286.203561,210.0,CS Cha,11.7,5688.237937,149.0,0.396618106,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
CS Cha c,Candidate,3286.203561,3.65,CS Cha,11.7,5688.237937,149.0,0.396618106,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
delta Pav b,Candidate,13505.0,11.1,delta Pav,3.55,5590.39,6.094,1.207271365,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
delta Pav c,Candidate,57.0,0.289,delta Pav,3.55,5590.39,6.094,1.207271365,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Elias 2-24 c,Candidate,32646.6,20.0,Elias 2-24,14.4,4483.0,139.0,0.028709763,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Elias 2-24 d,Candidate,296190.0,87.0,Elias 2-24,14.4,4483.0,139.0,0.028709763,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EPIC 211537087.02,Candidate,42.3822512,0.2688,K2-356,13.297,5568.0,355.54,0.518772488,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EPIC 211537087.03,Candidate,3286.203561,16.13423714,K2-356,13.297,5568.0,355.54,0.518772488,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EPIC 211939692.01,Candidate,26.8549,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EPIC 211939692.02,Candidate,39.553,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EPIC 211939692.03,Candidate,230.0,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EPIC 211939692.04,Candidate,293.0,16.13423714,EPIC 211939692,12.0,6417.0,302.4853135,1.239962601,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
eps Crv b,Candidate,31.50675256,0.305,eps Crv,2.98,4314.0,302.4853135,5028.154184,,Conservative HZ,Conservative HZ,Conservative HZ,Not in HZ,Not in HZ
eps Crv c,Candidate,2.29170595,0.053,eps Crv,2.98,4314.0,302.4853135,5028.154184,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EX Dra AB b,Candidate,3286.203561,9.83,EX Dra AB,9.885491525,5688.237937,302.4853135,8.693846668,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
EX Dra AB c,Candidate,3286.203561,3.18,EX Dra AB,9.885491525,5688.237937,302.4853135,8.693846668,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Exocomet beta Pic 1,Candidate,3286.203561,16.13423714,beta Pic,3.86,8052.0,19.3,9.101534466,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Exocomet beta Pic 2,Candidate,3286.203561,5.5,beta Pic,3.86,8052.0,19.3,9.101534466,,Not in HZ,Not in HZ,Not in HZ,Not in HZ,Not in HZ
Exocomet KIC 3542116 1,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,Conservative HZ,Conservative HZ,Conservative HZ,Not in HZ,Not in HZ
Exocomet KIC 3542116 2,Candidate,3286.203561,1.0,KIC 3542116,9.885491525,6925.0,227.7,4.926397499,,Conservative HZ,Conservative HZ,Conservative HZ,Not in HZ,Not in HZ
